Day,Borough,Swimming Pool,Program Type,Male Registration,Female Registration,Total Registration,Male Attendance,Female Attendance,Total Attendance
08/30/2019,Staten Island,Lyons,Night Owl,0,0,0,3,14,17
08/30/2019,Queens,Astoria,Night Owl,0,0,0,10,19,29
08/30/2019,Bronx,Crotona,Night Owl,0,0,0,1,1,2
08/30/2019,Bronx,Van Cortlandt,Night Owl,0,0,0,7,17,24
08/30/2019,Brooklyn,Sunset,Night Owl,0,0,0,18,9,27
08/30/2019,Brooklyn,Red Hook,Night Owl,0,0,0,13,12,25
08/30/2019,Brooklyn,McCarren,Night Owl,0,0,0,42,38,80
08/30/2019,Manhattan,Tony Dapolito,Night Owl,0,0,0,1,2,3
08/30/2019,Manhattan,Marcus Garvey,Night Owl,0,1,1,5,17,22
08/30/2019,Manhattan,Asser Levy,Night Owl,0,0,0,9,4,13
08/30/2019,Manhattan,Lasker,Night Owl,0,0,0,10,15,25
08/30/2019,Manhattan,John Jay,Night Owl,0,0,0,30,26,56
08/30/2019,Manhattan,Hamilton Fish,Night Owl,0,0,0,14,12,26
08/29/2019,Staten Island,Lyons,Night Owl,0,0,0,5,4,9
08/29/2019,Queens,Astoria,Night Owl,1,0,1,12,16,28
08/29/2019,Bronx,Crotona,Night Owl,0,0,0,1,0,1
08/29/2019,Bronx,Van Cortlandt,Night Owl,0,0,0,6,16,22
08/29/2019,Brooklyn,Sunset,Night Owl,0,2,2,13,15,28
08/29/2019,Brooklyn,Red Hook,Night Owl,1,3,4,12,12,24
08/29/2019,Brooklyn,McCarren,Night Owl,0,2,2,45,46,91
08/29/2019,Manhattan,Tony Dapolito,Night Owl,0,1,1,3,7,10
08/29/2019,Manhattan,Marcus Garvey,Night Owl,0,2,2,7,11,18
08/29/2019,Manhattan,Asser Levy,Night Owl,0,1,1,19,14,33
08/29/2019,Manhattan,Lasker,Night Owl,0,2,2,17,21,38
08/29/2019,Manhattan,John Jay,Night Owl,3,2,5,22,26,48
08/29/2019,Manhattan,Hamilton Fish,Night Owl,0,0,0,10,12,22
08/28/2019,Staten Island,Lyons,Night Owl,0,0,0,2,0,2
08/28/2019,Queens,Astoria,Night Owl,0,1,1,3,7,10
08/28/2019,Bronx,Crotona,Night Owl,0,0,0,0,1,1
08/28/2019,Bronx,Van Cortlandt,Night Owl,0,0,0,3,5,8
08/28/2019,Brooklyn,Sunset,Night Owl,0,0,0,10,3,13
08/28/2019,Brooklyn,Red Hook,Night Owl,0,1,1,2,4,6
08/28/2019,Brooklyn,McCarren,Night Owl,1,1,2,19,12,31
08/28/2019,Manhattan,Tony Dapolito,Night Owl,0,0,0,4,2,6
08/28/2019,Manhattan,Marcus Garvey,Night Owl,0,0,0,3,1,4
08/28/2019,Manhattan,Asser Levy,Night Owl,0,0,0,6,6,12
08/28/2019,Manhattan,Lasker,Night Owl,0,0,0,9,7,16
08/28/2019,Manhattan,John Jay,Night Owl,3,2,5,12,6,18
08/28/2019,Manhattan,Hamilton Fish,Night Owl,0,0,0,3,4,7
08/27/2019,Staten Island,Lyons,Night Owl,0,0,0,3,4,7
08/27/2019,Queens,Astoria,Night Owl,1,2,3,20,16,36
08/27/2019,Bronx,Crotona,Night Owl,0,0,0,0,1,1
08/27/2019,Bronx,Van Cortlandt,Night Owl,0,0,0,4,3,7
08/27/2019,Brooklyn,Red Hook,Night Owl,0,2,2,7,9,16
08/27/2019,Brooklyn,Red Hook,Night Owl,0,4,4,8,9,17
08/27/2019,Brooklyn,McCarren,Night Owl,0,0,0,19,30,49
08/27/2019,Manhattan,Tony Dapolito,Night Owl,0,1,1,4,5,9
08/27/2019,Manhattan,Marcus Garvey,Night Owl,0,1,1,4,5,9
08/27/2019,Manhattan,Asser Levy,Night Owl,3,0,3,9,6,15
08/27/2019,Manhattan,Lasker,Night Owl,0,2,2,9,13,22
08/27/2019,Manhattan,John Jay,Night Owl,1,0,1,21,13,34
08/27/2019,Manhattan,Hamilton Fish,Night Owl,0,0,0,17,5,22
08/26/2019,Staten Island,Lyons,Night Owl,0,0,0,3,6,9
08/26/2019,Queens,Astoria,Night Owl,4,0,4,31,18,49
08/26/2019,Bronx,Crotona,Night Owl,0,1,1,0,1,1
08/26/2019,Bronx,Van Cortlandt,Night Owl,0,0,0,6,8,14
08/26/2019,Brooklyn,Sunset,Night Owl,2,3,5,20,16,36
08/26/2019,Brooklyn,Red Hook,Night Owl,0,1,1,13,11,24
08/23/2019,Brooklyn,McCarren,Night Owl,2,1,3,34,28,62
08/26/2019,Manhattan,Tony Dapolito,Night Owl,1,0,1,4,4,8
08/26/2019,Manhattan,Marcus Garvey,Night Owl,0,0,0,5,7,12
08/26/2019,Manhattan,Asser Levy,Night Owl,0,0,0,11,9,20
08/26/2019,Manhattan,Lasker,Night Owl,0,0,0,12,9,21
08/26/2019,Manhattan,John Jay,Night Owl,3,0,3,17,17,34
08/26/2019,Manhattan,Hamilton Fish,Night Owl,0,0,0,30,15,45
08/23/2019,Staten Island,Lyons,Night Owl,0,1,1,2,8,10
08/23/2019,Queens,Astoria,Night Owl,0,2,2,22,15,37
08/23/2019,Bronx,Crotona,Night Owl,0,0,0,2,1,3
08/23/2019,Bronx,Van Cortlandt,Night Owl,0,0,0,9,9,18
08/23/2019,Brooklyn,Sunset,Night Owl,0,0,0,19,7,26
