Date,Borough,Pool,Attendance
06/29/2017,Brooklyn,Betsy Head,1107
06/29/2017,Brooklyn,PS 20 Playground,195
06/29/2017,Brooklyn,Lindower Park,140
06/29/2017,Brooklyn,JHS 57/HS 26 Pool,0
06/29/2017,Brooklyn,Glenwood Houses,50
06/29/2017,Brooklyn,David Fox/PS 251 Pool,194
06/29/2017,Brooklyn,McCarren Park,2526
06/29/2017,Brooklyn,Sunset Park,2124
06/29/2017,Brooklyn,Red Hook,807
06/29/2017,Brooklyn,Kosciuszko,988
06/29/2017,Brooklyn,Howard,486
06/29/2017,Brooklyn,Douglas and DeGraw,515
06/29/2017,Brooklyn,Commodore Barry,527
06/29/2017,Brooklyn,Bushwick,0
06/29/2017,Bronx,Claremont,692
06/29/2017,Bronx,Edenwald Houses,224
06/29/2017,Bronx,Crotona,1652
06/29/2017,Bronx,Floating Pool,489
06/29/2017,Bronx,Haffen,588
06/29/2017,Bronx,Mapes,732
06/29/2017,Bronx,Mullaly,645
06/29/2017,Bronx,Van Cortlandt,1068
06/29/2017,Bronx,Bronx River Playground,170
06/29/2017,Manhattan,Asser Levy,448
06/29/2017,Manhattan,Tony Dapolito,450
06/29/2017,Manhattan,Dry Dock,618
06/29/2017,Manhattan,Hamilton Fish,2028
06/29/2017,Manhattan,Highbridge,3360
06/29/2017,Manhattan,Jackie Robinson,889
06/29/2017,Manhattan,John Jay,511
06/29/2017,Manhattan,Lasker,1910
06/29/2017,Manhattan,Marcus Garvey,619
06/29/2017,Manhattan,Sheltering Arms,325
06/29/2017,Manhattan,Thomas Jefferson,1007
06/29/2017,Manhattan,Wagner,319
06/29/2017,Manhattan,Abe Lincoln,74
06/29/2017,Manhattan,Frederick Douglass,42
06/29/2017,Manhattan,Vesuvio,188
06/29/2017,Manhattan,Tompkins Square,152
06/29/2017,Queens,Astoria,163
06/29/2017,Queens,Fisher,755
06/29/2017,Queens,Liberty,501
06/29/2017,Queens,Totten,470
06/29/2017,Queens,Marie Curie Park,106
06/29/2017,Queens,Astoria Hts PS 10,0
06/29/2017,Queens,PS 186 Playground,45
06/29/2017,Queens,Windmuller,414
06/29/2017,Staten Island,Faber,461
06/29/2017,Staten Island,Lyons,781
06/30/2017,Queens,Marie Curie Park,320
06/29/2017,Staten Island,Tottenville,255
06/29/2017,Staten Island,West Brighton,329
06/29/2017,Staten Island,General Douglas,0
06/29/2017,Staten Island,Mariner's Harbor,0
06/29/2017,Staten Island,PS 14 Playground,75
06/29/2017,Staten Island,PS 46 Playground,120
06/30/2017,Brooklyn,Betsy Head,1374
06/30/2017,Brooklyn,PS 20 Playground,0
06/30/2017,Brooklyn,Lindower Park,270
06/30/2017,Brooklyn,JHS 57/HS 26 Pool,0
06/30/2017,Brooklyn,Glenwood Houses,118
06/30/2017,Brooklyn,David Fox/PS 251 Pool,142
06/30/2017,Brooklyn,McCarren Park,3512
06/30/2017,Brooklyn,Sunset Park,2684
06/30/2017,Brooklyn,Red Hook,1143
06/30/2017,Brooklyn,Kosciuszko,1326
06/30/2017,Brooklyn,Howard,241
06/30/2017,Brooklyn,Douglas and DeGraw,787
06/30/2017,Brooklyn,Commodore Barry,143
06/30/2017,Brooklyn,Bushwick,361
06/30/2017,Bronx,Claremont,697
06/30/2017,Bronx,Edenwald Houses,225
06/30/2017,Bronx,Crotona,3146
06/30/2017,Bronx,Floating Pool,691
06/30/2017,Bronx,Haffen,585
06/30/2017,Bronx,Mapes,923
06/30/2017,Bronx,Mullaly,695
06/30/2017,Bronx,Van Cortlandt,1356
06/30/2017,Bronx,Bronx River Playground,146
06/30/2017,Manhattan,Asser Levy,707
06/30/2017,Manhattan,Tony Dapolito,400
06/30/2017,Manhattan,Dry Dock,639
06/30/2017,Manhattan,Hamilton Fish,2282
06/30/2017,Manhattan,Highbridge,3032
06/30/2017,Manhattan,Jackie Robinson,1207
06/30/2017,Manhattan,John Jay,792
06/30/2017,Manhattan,Lasker,2416
06/30/2017,Manhattan,Marcus Garvey,793
06/30/2017,Manhattan,Sheltering Arms,387
06/30/2017,Manhattan,Thomas Jefferson,959
06/30/2017,Manhattan,Wagner,364
06/30/2017,Manhattan,Abe Lincoln,122
06/30/2017,Manhattan,Frederick Douglass,110
06/30/2017,Manhattan,Vesuvio,145
06/30/2017,Manhattan,Tompkins Square,168
06/30/2017,Queens,Astoria,2197
06/30/2017,Queens,Fisher,870
06/30/2017,Queens,Liberty,765
06/30/2017,Queens,Totten,599
06/30/2017,Queens,Astoria Hts PS 10,0
06/30/2017,Queens,PS 186 Playground,56
06/30/2017,Queens,Windmuller,448
06/30/2017,Staten Island,Faber,534
06/30/2017,Staten Island,Lyons,993
06/30/2017,Staten Island,Tottenville,352
06/30/2017,Staten Island,West Brighton,457
06/30/2017,Staten Island,General Douglas,32
06/30/2017,Staten Island,Mariner's Harbor,0
06/30/2017,Staten Island,PS 14 Playground,150
06/30/2017,Staten Island,PS 46 Playground,149
07/01/2017,Brooklyn,Betsy Head,634
07/01/2017,Brooklyn,PS 20 Playground,178
07/01/2017,Brooklyn,Lindower Park,254
07/01/2017,Brooklyn,JHS 57/HS 26 Pool,0
07/01/2017,Brooklyn,Glenwood Houses,30
07/01/2017,Brooklyn,David Fox/PS 251 Pool,79
07/01/2017,Brooklyn,McCarren Park,1610
07/01/2017,Brooklyn,Sunset Park,1377
07/01/2017,Brooklyn,Red Hook,747
07/01/2017,Brooklyn,Kosciuszko,747
07/01/2017,Brooklyn,Howard,518
07/01/2017,Brooklyn,Douglas and DeGraw,482
07/01/2017,Brooklyn,Commodore Barry,569
07/01/2017,Brooklyn,Bushwick,182
07/01/2017,Bronx,Claremont,667
07/01/2017,Bronx,Edenwald Houses,140
07/01/2017,Bronx,Crotona,1594
07/01/2017,Bronx,Floating Pool,480
07/01/2017,Bronx,Haffen,370
07/01/2017,Bronx,Mapes,776
07/01/2017,Bronx,Mullaly,532
07/01/2017,Bronx,Van Cortlandt,948
07/01/2017,Bronx,Bronx River Playground,129
07/01/2017,Manhattan,Asser Levy,342
07/01/2017,Manhattan,Tony Dapolito,270
07/01/2017,Manhattan,Dry Dock,400
07/01/2017,Manhattan,Hamilton Fish,1060
07/01/2017,Manhattan,Highbridge,1760
07/01/2017,Manhattan,Jackie Robinson,774
07/01/2017,Manhattan,John Jay,469
07/01/2017,Manhattan,Lasker,1187
07/01/2017,Manhattan,Marcus Garvey,423
07/01/2017,Manhattan,Sheltering Arms,331
07/01/2017,Manhattan,Thomas Jefferson,784
07/01/2017,Manhattan,Wagner,301
